Vacancies for the purpose of Upgradation / Migration in Session 2014-15,,,,,,,,,,,
S.No.,Name,Programme,Sanctioned Intake,Intake + OBC/KM/MQ,Seats Filled during counselling,Not Filled,,,Permissible Limit,Total Vacancy,Resultant Vacancy  after upgaradtion 
,,,,,,Detained,Non Reporting/ vacant,Withdrawal / Cancellation ,,,
1,USIT,(IT) (Dual Degree),60,60,,,,,3,,
,,(CSE)(Dual Degree),60,60,,,,,3,,
,,(ECE) (Dual Degree),60,60,,,,,3,,
4,GBPGEC,B.TECH (ECE),60,60+15,65,0,0,4,3,2,
,,B.TECH (CSE),60,60+15,63,0,0,2,3,3,
,,B.TECH (MAE),60,60+15,63,2,0,3,3,4,
5,CBPGEC,B.TECH.(IT),60,74,62,0,0,2,3,2,
,,B.TECH.(CIVIL),60,74,65,0,0,1,3,1,
,,B.TECH.(ENE),30,37,18,0,0,0,0,0,
6,AIACTR,B.TECH.(CSE),60,,,0,0,0,3,0,
,,B.TECH.(ECE),120,,,0,0,2,6,2,
7,DITE,B.Tech. (Tool Engg.),60,60,,0,0,0,3,0,
,,B.Tech (MET),60,60,,0,0,0,3,0,
8,NPTI,B.Tech. (PE),60,,,0,0,0,3,0,
10,ASET,B.TECH (CSE),60,54+6,60,0,0,1,3,1,
,,B.TECH (ECE),60,54+6,57,0,3,0,3,3,
,,B.TECH (ICE),60,54+6,14,0,46,0,3,46,
,,B.TECH (IT),60,54+6,58,0,2,0,3,2,
,,B.TECH (MAE),60,54+6,57,0,3,0,3,3,
11,BPIT,B.TECH (CSE),120,108+12,120,1,0,1,6,1,
,,B.TECH.(ECE),120,108+12,121 (1 as JKM),1,0,3,6,3,
,,B.TECH.(IT),60,54+6,60,0,0,1,3,1,
,,B.TECH.(EEE),60,54+6,59,0,0,0,3,0,
12,BVCOE,B.TECH (CSE),60,54+6,52,2,0,1,3,3,
,,B.TECH (ECE),120,108+12,108,2,0,0,6,0,
,,B.TECH (ICE),60,55+6,53,0,0,1,3,2,
,,B.TECH (IT),60,54+6,44,1,0,0,3,10,
,,B.TECH (EEE),60,54+6,54,1,0,0,3,0,
,,B.TECH (CSE)- 2nd Shift ,60,54+6,52,1,0,0,3,2,
,,B.TECH (ECE)- 2nd Shift ,60,54+6,54,0,0,0,3,0,
13,GPMCE,B.TECH.(CSE),60,54+6,6,0,0,0,3,0,
,,B.TECH (ECE),60,54+6,6,0,1,0,3,17,
,,B.TECH (IT),60,54+6,6,0,0,0,3,33,
,,B.TECH (MAE),60,54+6,6,0,0,0,3,2,
14,GTBIT,B.TECH (CSE),120,120,120,0,0,3,6,9,
,,B.TECH.(ECE),120,120,120,0,0,1,6,1,
,,B.TECH.(IT),120,120,120,0,0,1,6,2,
,,B.TECH.(EEE),60,60,60,0,0,0,3,6,
,,B.TECH.(ECE)  - 2nd SHIFT,60,60,60,0,0,0,3,4,
,,B.TECH.(IT) – 2nd SHIFT,60,60,60,0,0,0,3,1,
,,B.TECH.(CSE) – 2nd SHIFT,60,60,60,0,0,1,3,2,
15,HMR,B.TECH.(CSE),120,108+12,108,0,4,0,6,5,
,,B.TECH.(ECE),120,108+12,40,0,1,1,6,74,
,,B.TECH.(IT),60,54+6,4,0,2,0,3,58,
,,B.TECH.(EEE),60,54+6,22,0,0,0,3,97,
,,B.TECH.(MAE),60,54+6,69,0,2,2,3,51,
,,B.TECH.(CSE) – 2nd SHIFT,60,54+6,17,0,0,0,3,43,
,,B.TECH.(ECE) – 2nd SHIFT,60,54+6,2,0,0,0,3,58,
,,B.TECH.(EEE) – 2nd SHIFT,60,54+6,3,0,0,0,3,56,
16,MAIT,B.TECH.(CSE),120,108+12,120,0,0,13,6,13,
,,B.TECH.(EEE),60,54+6,60,0,2,6,3,8,
,,B.TECH.(ECE),120,108+12,108,0,0,10,6,10,
,,B.TECH.(IT),60,54+6,60,0,0,5,3,5,
,,B.TECH.(MAE),120,108+12,120,0,0,12,6,12,
,,B.TECH.(CSE) –                     2nd SHIFT,60,54+6,60,0,0,3,3,3,
,,B.TECH.(MAE) –                   2nd SHIFT,60,54+6,60,0,0,0,3,0,
,,B.TECH.(ECE) –                   2nd SHIFT,60,54+6,60,0,0,2,3,2,
,,B.TECH.(EEE) –                     2nd SHIFT,60,54+6,60,0,0,3,3,3,
,,B.TECH.(IT) –                      2nd SHIFT,60,54+6,60,0,0,1,3,1,
17,MSIT,B.TECH.(CSE),120,108+12,114,1,6,2,6,8,
,,B.TECH.(EEE),60,54+6,58,0,2,0,6,2,
,,B.TECH.(ECE),120,108+12,118,0,2,3,6,5,
,,B.TECH.(IT),60,54+6,56,0,4,0,3,4,
,,B.TECH.(CSE) – 2nd SHIFT,60,54+6,59,1,1,2,3,3,
,,B.TECH.(ECE) – 2nd SHIFT,60,54+6,59,0,1,0,3,1,
,,B.TECH.(IT) – 2nd SHIFT,60,54+6,58,0,2,1,3,3,
18,NIEC,B.TECH.(CSE),120,108+12,119,0,1,2,6,3,
,,B.TECH.(ECE),120,109+12,120,0,0,1,6,1,
,,B.TECH.(IT),120,108+12,118,0,2,2,6,4,
,,B.TECH.(MAE),120,108+12,120,0,0,2,6,2,
,,B.TECH.(EEE),120,108+12,117,0,3,3,6,6,
,,B.TECH.(CVE),120,108+12,117,0,4,2,6,6,
,,B.TECH.(CSE) – 2nd SHIFT,60,54+6,57,0,3,0,3,3,
,,B.TECH.(ECE) – 2nd SHIFT,60,54+6,56,0,4,0,3,4,
,,B.TECH.(MAE) – 2nd SHIFT,60,54+6,58,0,2,1,3,3,
,,B.TECH.(EEE) – 2nd SHIFT,60,54+6,58,0,2,2,3,4,
19,DTC,B.TECH (CSE),60,,18,0,0,0,3,42,
,,B.TECH (ECE),60,,11,0,0,1,3,50,
,,B.TECH (EEE),60,,6,0,0,0,3,54,
,,B.TECH (MAE),60,,21,0,1,0,3,39,
,,B.TECH (CVE),60,,26,0,1,0,3,34,
20,JIMS,B.TECH (CSE),60,,26,0,0,0,3,34,
,,B.TECH (ECE),60,,10,0,0,0,3,50,
,,B.TECH (CVE),60,,20,0,0,0,3,40,
,,B.TECH (EE),60,,8,0,0,0,3,52,
,,B.TECH (ME),60,,17,0,0,0,3,43,
